"package","installs_display","skills_sh_url","queries","install_command","repository_metadata_checked","status"
"aboudjem/humanizer-skill@humanizer","631","https://skills.sh/aboudjem/humanizer-skill/humanizer","humanizer; humanize","npx skills add aboudjem/humanizer-skill@humanizer","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"vladimir-human/humanizer-ru@humanizer-ru","601","https://skills.sh/vladimir-human/humanizer-ru/humanizer-ru","humanizer; humanize","npx skills add vladimir-human/humanizer-ru@humanizer-ru","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"hairyf/skills@writing-humanizer-zh","574","https://skills.sh/hairyf/skills/writing-humanizer-zh","humanizer; humanize","npx skills add hairyf/skills@writing-humanizer-zh","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"petrkindlmann/qa-skills@qa-report-humanizer","565","https://skills.sh/petrkindlmann/qa-skills/qa-report-humanizer","humanizer","npx skills add petrkindlmann/qa-skills@qa-report-humanizer","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"brandonwise/humanizer@humanizer","377","https://skills.sh/brandonwise/humanizer/humanizer","humanizer","npx skills add brandonwise/humanizer@humanizer","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"redbaronyyyyy-eng/humanizer-zh-academic@humanizer-zh-academic","322","https://skills.sh/redbaronyyyyy-eng/humanizer-zh-academic/humanizer-zh-academic","humanizer","npx skills add redbaronyyyyy-eng/humanizer-zh-academic@humanizer-zh-academic","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"skills.volces.com@humanizer","306","https://skills.sh/skills.volces.com/humanizer","humanizer","npx skills add skills.volces.com@humanizer","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"smithery.ai@humanizer","290","https://skills.sh/smithery.ai/humanizer","humanizer","npx skills add smithery.ai@humanizer","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"momo2young/humanize-academic-writing@humanize-academic-writing","1.8K","https://skills.sh/momo2young/humanize-academic-writing/humanize-academic-writing","humanize","npx skills add momo2young/humanize-academic-writing@humanize-academic-writing","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"jpeggdev/humanize-writing@humanize-writing","1.6K","https://skills.sh/jpeggdev/humanize-writing/humanize-writing","humanize","npx skills add jpeggdev/humanize-writing@humanize-writing","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"sickn33/agentic-awesome-skills@humanize-chinese","656","https://skills.sh/sickn33/agentic-awesome-skills/humanize-chinese","humanize","npx skills add sickn33/agentic-awesome-skills@humanize-chinese","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"learnprompt/humanize-ppt@humanize-ppt","509","https://skills.sh/learnprompt/humanize-ppt/humanize-ppt","humanize","npx skills add learnprompt/humanize-ppt@humanize-ppt","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"pproenca/dot-skills@humanize","360","https://skills.sh/pproenca/dot-skills/humanize","humanize","npx skills add pproenca/dot-skills@humanize","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"zenstory-ai/oh-story-claudecode@story-deslop","13.5K","https://skills.sh/zenstory-ai/oh-story-claudecode/story-deslop","去AI; deslop","npx skills add zenstory-ai/oh-story-claudecode@story-deslop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"lifelonglazylearner/qu-ai-wei@qu-ai-wei","625","https://skills.sh/lifelonglazylearner/qu-ai-wei/qu-ai-wei","去AI","npx skills add lifelonglazylearner/qu-ai-wei@qu-ai-wei","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"smallnest/goal-workflow@humanize-it","445","https://skills.sh/smallnest/goal-workflow/humanize-it","去AI","npx skills add smallnest/goal-workflow@humanize-it","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"wordflowlab/novel-writer-skills@requirement-detector","278","https://skills.sh/wordflowlab/novel-writer-skills/requirement-detector","去AI","npx skills add wordflowlab/novel-writer-skills@requirement-detector","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"chujianyun/skills@remove-ai-flavor","130","https://skills.sh/chujianyun/skills/remove-ai-flavor","去AI; ai flavor","npx skills add chujianyun/skills@remove-ai-flavor","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"jackywxsz/jacky-opc@jacky-de-ai","109","https://skills.sh/jackywxsz/jacky-opc/jacky-de-ai","去AI","npx skills add jackywxsz/jacky-opc@jacky-de-ai","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"allinherog-star/ai-skills@ai-humanizer-zh","65","https://skills.sh/allinherog-star/ai-skills/ai-humanizer-zh","去AI","npx skills add allinherog-star/ai-skills@ai-humanizer-zh","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"aaaaqwq/agi-super-team@de-ai-ify","49","https://skills.sh/aaaaqwq/agi-super-team/de-ai-ify","去AI","npx skills add aaaaqwq/agi-super-team@de-ai-ify","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"hardydai-cell/qu-ai-wei@去ai味","22","https://skills.sh/hardydai-cell/qu-ai-wei/ai","去AI","npx skills add hardydai-cell/qu-ai-wei@去ai味","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"tance-mang/chinese-webnovel-skills@deslop","21","https://skills.sh/tance-mang/chinese-webnovel-skills/deslop","去AI","npx skills add tance-mang/chinese-webnovel-skills@deslop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"spacezephyr/creator-buddy@space-video-script","15","https://skills.sh/spacezephyr/creator-buddy/space-video-script","去AI","npx skills add spacezephyr/creator-buddy@space-video-script","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"chained1001/mo-shu@moshu-deslop","13","https://skills.sh/chained1001/mo-shu/moshu-deslop","去AI","npx skills add chained1001/mo-shu@moshu-deslop","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"kevinaimonster/skill-hub@chinese-copyfix","12","https://skills.sh/kevinaimonster/skill-hub/chinese-copyfix","去AI","npx skills add kevinaimonster/skill-hub@chinese-copyfix","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"elvisw/oh-story-claudecode@story-deslop","11","https://skills.sh/elvisw/oh-story-claudecode/story-deslop","去AI","npx skills add elvisw/oh-story-claudecode@story-deslop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"skills.volces.com@humanize-zh","9","https://skills.sh/skills.volces.com/humanize-zh","去AI","npx skills add skills.volces.com@humanize-zh","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"bojieli/ai-agent-book@ai-style","8","https://skills.sh/bojieli/ai-agent-book/ai-style","去AI","npx skills add bojieli/ai-agent-book@ai-style","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"malue-ai/dazee-small@humanizer","6","https://skills.sh/malue-ai/dazee-small/humanizer","去AI","npx skills add malue-ai/dazee-small@humanizer","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"modelscope.cn@ai-humanizer-zh","6","https://skills.sh/modelscope.cn/ai-humanizer-zh","去AI","npx skills add modelscope.cn@ai-humanizer-zh","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"wordflowlab/novelweave@requirement-detector","5","https://skills.sh/wordflowlab/novelweave/requirement-detector","去AI","npx skills add wordflowlab/novelweave@requirement-detector","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"hotcoffeeshake/tong-jincheng-skill@tong-jincheng-perspective","3.9K","https://skills.sh/hotcoffeeshake/tong-jincheng-skill/tong-jincheng-perspective","说人话","npx skills add hotcoffeeshake/tong-jincheng-skill@tong-jincheng-perspective","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"mrgediao/shuorenhua@shuorenhua","975","https://skills.sh/mrgediao/shuorenhua/shuorenhua","说人话","npx skills add mrgediao/shuorenhua@shuorenhua","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"pluviobyte/rnskill@dbs-chatroom","147","https://skills.sh/pluviobyte/rnskill/dbs-chatroom","说人话","npx skills add pluviobyte/rnskill@dbs-chatroom","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"lulu-eva/eva-skill@eva-audience-finder","110","https://skills.sh/lulu-eva/eva-skill/eva-audience-finder","说人话","npx skills add lulu-eva/eva-skill@eva-audience-finder","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"pluviobyte/rnskill@rn-renhua","96","https://skills.sh/pluviobyte/rnskill/rn-renhua","说人话","npx skills add pluviobyte/rnskill@rn-renhua","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"1-skill/shuorenhua@shuorenhua","65","https://skills.sh/1-skill/shuorenhua/shuorenhua","说人话","npx skills add 1-skill/shuorenhua@shuorenhua","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"taxueseek/say-it-human@editor-revisor","51","https://skills.sh/taxueseek/say-it-human/editor-revisor","说人话","npx skills add taxueseek/say-it-human@editor-revisor","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"43college/43-agent-skills@media-transcriber","46","https://skills.sh/43college/43-agent-skills/media-transcriber","说人话","npx skills add 43college/43-agent-skills@media-transcriber","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"cycleuser/skills@humanizer","33","https://skills.sh/cycleuser/skills/humanizer","说人话","npx skills add cycleuser/skills@humanizer","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"yikuaibanzi/forge-skill@use-persona","29","https://skills.sh/yikuaibanzi/forge-skill/use-persona","说人话","npx skills add yikuaibanzi/forge-skill@use-persona","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"luoyuweidu1/podcastcut-skills@podcastcut:剪播客","26","https://skills.sh/luoyuweidu1/podcastcut-skills/podcastcut","说人话","npx skills add luoyuweidu1/podcastcut-skills@podcastcut:剪播客","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"skills.volces.com@web-search-engine","21","https://skills.sh/skills.volces.com/web-search-engine","说人话","npx skills add skills.volces.com@web-search-engine","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"tance-mang/chinese-webnovel-skills@dialogue","19","https://skills.sh/tance-mang/chinese-webnovel-skills/dialogue","说人话","npx skills add tance-mang/chinese-webnovel-skills@dialogue","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"kevinaimonster/skill-hub@translator","13","https://skills.sh/kevinaimonster/skill-hub/translator","说人话","npx skills add kevinaimonster/skill-hub@translator","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"buke18/fengge-skill@fenggge-perspective","12","https://skills.sh/buke18/fengge-skill/fenggge-perspective","说人话","npx skills add buke18/fengge-skill@fenggge-perspective","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"pluviobyte/rnskill@renhua","10","https://skills.sh/pluviobyte/rnskill/renhua","说人话","npx skills add pluviobyte/rnskill@renhua","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"patrick-fu/awesome-skills@deslop","9","https://skills.sh/patrick-fu/awesome-skills/deslop","说人话","npx skills add patrick-fu/awesome-skills@deslop","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"skills.volces.com@sutui-minimax-tts","7","https://skills.sh/skills.volces.com/sutui-minimax-tts","说人话","npx skills add skills.volces.com@sutui-minimax-tts","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"cagezh/etna-skillhub@transcript","6","https://skills.sh/cagezh/etna-skillhub/transcript","说人话","npx skills add cagezh/etna-skillhub@transcript","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"eze-is/eze-skills@audio-transcribe","5","https://skills.sh/eze-is/eze-skills/audio-transcribe","说人话","npx skills add eze-is/eze-skills@audio-transcribe","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"obra/the-elements-of-style@writing-clearly-and-concisely","1.7K","https://skills.sh/obra/the-elements-of-style/writing-clearly-and-concisely","writing style","npx skills add obra/the-elements-of-style@writing-clearly-and-concisely","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"haowjy/creative-writing-skills@project-setup","406","https://skills.sh/haowjy/creative-writing-skills/project-setup","writing style","npx skills add haowjy/creative-writing-skills@project-setup","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"different-ai/agent-bank@writing-style","377","https://skills.sh/different-ai/agent-bank/writing-style","writing style","npx skills add different-ai/agent-bank@writing-style","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"sugarforever/01coder-agent-skills@personal-chinese-writing-style","359","https://skills.sh/sugarforever/01coder-agent-skills/personal-chinese-writing-style","writing style","npx skills add sugarforever/01coder-agent-skills@personal-chinese-writing-style","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"shining319/claude-code-single-person-workflow@academic-writing-style","311","https://skills.sh/shining319/claude-code-single-person-workflow/academic-writing-style","writing style","npx skills add shining319/claude-code-single-person-workflow@academic-writing-style","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"haowjy/creative-writing-skills@style-analysis","289","https://skills.sh/haowjy/creative-writing-skills/style-analysis","writing style","npx skills add haowjy/creative-writing-skills@style-analysis","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"sugarforever/01coder-agent-skills@personal-writing-style","283","https://skills.sh/sugarforever/01coder-agent-skills/personal-writing-style","writing style","npx skills add sugarforever/01coder-agent-skills@personal-writing-style","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"haowjy/creative-writing-skills@cw-prose-writing","259","https://skills.sh/haowjy/creative-writing-skills/cw-prose-writing","writing style","npx skills add haowjy/creative-writing-skills@cw-prose-writing","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"social-media-skills/skills@writing-style-and-tone","183","https://skills.sh/social-media-skills/skills/writing-style-and-tone","writing style","npx skills add social-media-skills/skills@writing-style-and-tone","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"dongbeixiaohuo/writing-agent@style-modeler","120","https://skills.sh/dongbeixiaohuo/writing-agent/style-modeler","writing style","npx skills add dongbeixiaohuo/writing-agent@style-modeler","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"hairyf/skills@writing-styles-juejin","119","https://skills.sh/hairyf/skills/writing-styles-juejin","writing style","npx skills add hairyf/skills@writing-styles-juejin","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"joelhooks/joelclaw@joel-writing-style","84","https://skills.sh/joelhooks/joelclaw/joel-writing-style","writing style","npx skills add joelhooks/joelclaw@joel-writing-style","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"jzocb/writing-style-skill@writing-style-skill","51","https://skills.sh/jzocb/writing-style-skill/writing-style-skill","writing style","npx skills add jzocb/writing-style-skill@writing-style-skill","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"adhi-jp/agent-skills@writing-style-guide","37","https://skills.sh/adhi-jp/agent-skills/writing-style-guide","writing style","npx skills add adhi-jp/agent-skills@writing-style-guide","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"efoo-team/skills@sql-writing-style","36","https://skills.sh/efoo-team/skills/sql-writing-style","writing style","npx skills add efoo-team/skills@sql-writing-style","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"cdeistopened/skill-stack@writing-style","34","https://skills.sh/cdeistopened/skill-stack/writing-style","writing style","npx skills add cdeistopened/skill-stack@writing-style","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"anotb/management-consulting-plugin@writing-style","29","https://skills.sh/anotb/management-consulting-plugin/writing-style","writing style","npx skills add anotb/management-consulting-plugin@writing-style","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"nihildigit/writing-style@writing-style","23","https://skills.sh/nihildigit/writing-style/writing-style","writing style","npx skills add nihildigit/writing-style@writing-style","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"schroneko/skills@writing-style","17","https://skills.sh/schroneko/skills/writing-style","writing style","npx skills add schroneko/skills@writing-style","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"lout33/writing-style-skill@writing-style","13","https://skills.sh/lout33/writing-style-skill/writing-style","writing style","npx skills add lout33/writing-style-skill@writing-style","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"yuan1z0825/nature-skills@nature-citation","10.3K","https://skills.sh/yuan1z0825/nature-skills/nature-citation","natural writing","npx skills add yuan1z0825/nature-skills@nature-citation","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"yuan1z0825/nature-skills@nature-data","10.2K","https://skills.sh/yuan1z0825/nature-skills/nature-data","natural writing","npx skills add yuan1z0825/nature-skills@nature-data","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"yuan1z0825/nature-skills@nature-response","9.9K","https://skills.sh/yuan1z0825/nature-skills/nature-response","natural writing","npx skills add yuan1z0825/nature-skills@nature-response","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"yuan1z0825/nature-skills@nature-writing","9.8K","https://skills.sh/yuan1z0825/nature-skills/nature-writing","natural writing","npx skills add yuan1z0825/nature-skills@nature-writing","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"galaxy-dawn/claude-scholar@nature-writing","249","https://skills.sh/galaxy-dawn/claude-scholar/nature-writing","natural writing","npx skills add galaxy-dawn/claude-scholar@nature-writing","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"third774/dotfiles@natural-writing","69","https://skills.sh/third774/dotfiles/natural-writing","natural writing","npx skills add third774/dotfiles@natural-writing","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"modelscope.cn@nature-writing","38","https://skills.sh/modelscope.cn/nature-writing","natural writing","npx skills add modelscope.cn@nature-writing","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"yyx20202020/natural-writing-skill@natural-writing","24","https://skills.sh/yyx20202020/natural-writing-skill/natural-writing","natural writing","npx skills add yyx20202020/natural-writing-skill@natural-writing","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"flutter/agent-plugins@natural-writing","21","https://skills.sh/flutter/agent-plugins/natural-writing","natural writing","npx skills add flutter/agent-plugins@natural-writing","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"acedergren/agentic-tools@write-natural-swedish","21","https://skills.sh/acedergren/agentic-tools/write-natural-swedish","natural writing","npx skills add acedergren/agentic-tools@write-natural-swedish","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"vivswan/skills@natural-writing","13","https://skills.sh/vivswan/skills/natural-writing","natural writing","npx skills add vivswan/skills@natural-writing","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"cuipengfei/prompts@natural-writing","6","https://skills.sh/cuipengfei/prompts/natural-writing","natural writing","npx skills add cuipengfei/prompts@natural-writing","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"tenfyzhong/skills-hub@natural-writing","5","https://skills.sh/tenfyzhong/skills-hub/natural-writing","natural writing","npx skills add tenfyzhong/skills-hub@natural-writing","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"flutter/flutter@natural-writing","4","https://skills.sh/flutter/flutter/natural-writing","natural writing","npx skills add flutter/flutter@natural-writing","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"a2ui-project/a2ui@natural-writing","4","https://skills.sh/a2ui-project/a2ui/natural-writing","natural writing","npx skills add a2ui-project/a2ui@natural-writing","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"joelio/plain-english@natural-writing","2","https://skills.sh/joelio/plain-english/natural-writing","natural writing","npx skills add joelio/plain-english@natural-writing","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"smithery.ai@natural-writing","2","https://skills.sh/smithery.ai/natural-writing","natural writing","npx skills add smithery.ai@natural-writing","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"rylaispirit/rylai-codex-hermes-skills@natural-writing","1","https://skills.sh/rylaispirit/rylai-codex-hermes-skills/natural-writing","natural writing","npx skills add rylaispirit/rylai-codex-hermes-skills@natural-writing","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"griddynamics/rosetta@natural-writing","1","https://skills.sh/griddynamics/rosetta/natural-writing","natural writing","npx skills add griddynamics/rosetta@natural-writing","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"yigitkonur/skills-by-yigitkonur@convert-to-natural-writing","1","https://skills.sh/yigitkonur/skills-by-yigitkonur/convert-to-natural-writing","natural writing","npx skills add yigitkonur/skills-by-yigitkonur@convert-to-natural-writing","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"bahayonghang/academic-writing-skills@latex-paper-en","5.2K","https://skills.sh/bahayonghang/academic-writing-skills/latex-paper-en","deai","npx skills add bahayonghang/academic-writing-skills@latex-paper-en","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"bahayonghang/academic-writing-skills@latex-thesis-zh","3.8K","https://skills.sh/bahayonghang/academic-writing-skills/latex-thesis-zh","deai","npx skills add bahayonghang/academic-writing-skills@latex-thesis-zh","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"bahayonghang/academic-writing-skills@typst-paper","1.3K","https://skills.sh/bahayonghang/academic-writing-skills/typst-paper","deai","npx skills add bahayonghang/academic-writing-skills@typst-paper","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"kellyclaudeai/memory-system-v2@memory-system-v2","81","https://skills.sh/kellyclaudeai/memory-system-v2/memory-system-v2","deai","npx skills add kellyclaudeai/memory-system-v2@memory-system-v2","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"zizhanovo/doubaoya-community@dby","40","https://skills.sh/zizhanovo/doubaoya-community/dby","deai","npx skills add zizhanovo/doubaoya-community@dby","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"skills.volces.com@content-deai-engine","10","https://skills.sh/skills.volces.com/content-deai-engine","deai","npx skills add skills.volces.com@content-deai-engine","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"skills.volces.com@deai-skill","9","https://skills.sh/skills.volces.com/deai-skill","deai","npx skills add skills.volces.com@deai-skill","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"allblueuk/academic-deai@academic-deai","7","https://skills.sh/allblueuk/academic-deai/academic-deai","deai","npx skills add allblueuk/academic-deai@academic-deai","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"syq-cmdi/academic-deai@academic-deai","4","https://skills.sh/syq-cmdi/academic-deai/academic-deai","deai","npx skills add syq-cmdi/academic-deai@academic-deai","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"lanyasheng/content-deai-engine@content-deai-engine","3","https://skills.sh/lanyasheng/content-deai-engine/content-deai-engine","deai","npx skills add lanyasheng/content-deai-engine@content-deai-engine","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"ilang-ai/ilang-openclaw@deai","2","https://skills.sh/ilang-ai/ilang-openclaw/deai","deai","npx skills add ilang-ai/ilang-openclaw@deai","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"nerdneilsfield/skills@deai","2","https://skills.sh/nerdneilsfield/skills/deai","deai","npx skills add nerdneilsfield/skills@deai","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"peng-666/deai-zh@deai-zh","2","https://skills.sh/peng-666/deai-zh/deai-zh","deai","npx skills add peng-666/deai-zh@deai-zh","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"golovatskygroup/deai-code@deai-code","2","https://skills.sh/golovatskygroup/deai-code/deai-code","deai","npx skills add golovatskygroup/deai-code@deai-code","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"xcc864451691/gongwen-deai-skill@gongwen-deai","2","https://skills.sh/xcc864451691/gongwen-deai-skill/gongwen-deai","deai","npx skills add xcc864451691/gongwen-deai-skill@gongwen-deai","true","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
"youngze0016/thesis-polish-agent@deai","1","https://skills.sh/youngze0016/thesis-polish-agent/deai","deai","npx skills add youngze0016/thesis-polish-agent@deai","false","原始检索候选；含误命中、重复谱系及相邻领域，不等同推荐"
