"id","repo","url","accessible","stars","forks","fork_parent","license","pushed_at","note","skills_sh_entries","source_paths"
"11","alchaincyf/nuwa-skill","https://github.com/alchaincyf/nuwa-skill","true","32101","4365","","MIT","2026-08-25T03:02:26Z","人物思维与表达建模，属于风格工具而非专门去味。","","SKILL.md"
"12","dongbeixiaohuo/writing-agent","https://github.com/dongbeixiaohuo/writing-agent","true","403","63","","MIT","2026-08-31T15:01:55Z","完整中文写作 Workflow，非单一过滤器。","dongbeixiaohuo/writing-agent@style-modeler (120); https://skills.sh/dongbeixiaohuo/writing-agent/style-modeler; npx skills add dongbeixiaohuo/writing-agent@style-modeler",""
"13","Aboudjem/humanizer-skill","https://github.com/Aboudjem/humanizer-skill","true","215","32","","MIT","2026-09-04T08:14:31Z","55 类模式、五种 voice、CLI 规则评分。","aboudjem/humanizer-skill@humanizer (631); https://skills.sh/aboudjem/humanizer-skill/humanizer; npx skills add aboudjem/humanizer-skill@humanizer","skills/humanizer/SKILL.md"
"14","jpeggdev/humanize-writing","https://github.com/jpeggdev/humanize-writing","true","58","9","","MIT","2026-03-14T07:26:54Z","英文八轮编辑；仓库 stars 少于 100。","jpeggdev/humanize-writing@humanize-writing (1.6K); https://skills.sh/jpeggdev/humanize-writing/humanize-writing; npx skills add jpeggdev/humanize-writing@humanize-writing","SKILL.md"
"15","momo2young/humanize-academic-writing","https://github.com/momo2young/humanize-academic-writing","true","18","3","","MIT","2026-01-25T16:38:31Z","英文社科学术写作；低 stars，效果待测。","momo2young/humanize-academic-writing@humanize-academic-writing (1.8K); https://skills.sh/momo2young/humanize-academic-writing/humanize-academic-writing; npx skills add momo2young/humanize-academic-writing@humanize-academic-writing","SKILL.md"
"16","humanizerai/agent-skills","https://github.com/humanizerai/agent-skills","true","42","7","","MIT","2026-02-05T14:19:04Z","外部 API 封装；传输正文并涉及 credits。","humanizerai/agent-skills@humanize (3.8K); https://skills.sh/humanizerai/agent-skills/humanize; npx skills add humanizerai/agent-skills@humanize","skills/humanize/SKILL.md"
"17","obra/the-elements-of-style","https://github.com/obra/the-elements-of-style","true","559","78","","","2026-08-12T21:49:28Z","简洁英文写作经典规则，间接减少模板感。","obra/the-elements-of-style@writing-clearly-and-concisely (1.7K); https://skills.sh/obra/the-elements-of-style/writing-clearly-and-concisely; npx skills add obra/the-elements-of-style@writing-clearly-and-concisely",""
"18","realrossmanngroup/no_ai_slop_writing_rules","https://github.com/realrossmanngroup/no_ai_slop_writing_rules","true","672","73","","","2026-05-30T20:41:20Z","no-ai-slop 加特定人物 voice；不一定适合你的声音。","realrossmanngroup/no_ai_slop_writing_rules@no-ai-slop (374); https://skills.sh/realrossmanngroup/no_ai_slop_writing_rules/no-ai-slop; npx skills add realrossmanngroup/no_ai_slop_writing_rules@no-ai-slop
realrossmanngroup/no_ai_slop_writing_rules@rossmann-voice (229); https://skills.sh/realrossmanngroup/no_ai_slop_writing_rules/rossmann-voice; npx skills add realrossmanngroup/no_ai_slop_writing_rules@rossmann-voice",".claude/skills/no-ai-slop/SKILL.md
.claude/skills/rossmann-voice/SKILL.md
skills/no-ai-slop/SKILL.md
skills/rossmann-voice/SKILL.md"
"19","jalaalrd/anti-ai-slop-writing","https://github.com/jalaalrd/anti-ai-slop-writing","true","441","45","","","2026-04-18T23:37:12Z","英文反模板指令；包含不编造约束。","jalaalrd/anti-ai-slop-writing@anti-ai-slop-writing (448); https://skills.sh/jalaalrd/anti-ai-slop-writing/anti-ai-slop-writing; npx skills add jalaalrd/anti-ai-slop-writing@anti-ai-slop-writing","skills/anti-ai-slop-writing/SKILL.md"
"20","adenaufal/anti-slop-writing","https://github.com/adenaufal/anti-slop-writing","true","124","7","","MIT","2026-07-06T04:02:38Z","通用系统 prompt/规则；安装结构另核实。","adenaufal/anti-slop-writing@anti-slop-writing (82); https://skills.sh/adenaufal/anti-slop-writing/anti-slop-writing; npx skills add adenaufal/anti-slop-writing@anti-slop-writing",""
"21","adewale/anti-slop-writing","https://github.com/adewale/anti-slop-writing","true","17","0","","MIT","2026-09-05T13:46:40Z","英文编辑 skill；低 stars，作为备选。","adewale/anti-slop-writing@anti-slop-writing (46); https://skills.sh/adewale/anti-slop-writing/anti-slop-writing; npx skills add adewale/anti-slop-writing@anti-slop-writing",""
"22","brandonwise/humanizer","https://github.com/brandonwise/humanizer","true","118","19","","MIT","2026-08-09T22:20:06Z","面向 OpenClaw 的 Humanizer 同源方案。","brandonwise/humanizer@humanizer (377); https://skills.sh/brandonwise/humanizer/humanizer; npx skills add brandonwise/humanizer@humanizer","SKILL.md"
"23","lynote-ai/best-humanizer-handbook","https://github.com/lynote-ai/best-humanizer-handbook","true","370","5","","MIT","2026-06-16T13:27:57Z","参考手册，不当作独立可安装 skill。","",""
"24","lynote-ai/humanize-text","https://github.com/lynote-ai/humanize-text","true","1600","102","","MIT","2026-08-05T08:56:35Z","文本改写 pipeline 项目，不等同 Markdown skill。","",""
"25","Hello-SimpleAI/chatgpt-comparison-detection","https://github.com/Hello-SimpleAI/chatgpt-comparison-detection","true","1452","129","","","2023-12-01T16:03:51Z","HC3 数据集与检测研究；排除出写作 skill 推荐。","",""
"26","kevintsai1202/Humanizer-zh-TW","https://github.com/kevintsai1202/Humanizer-zh-TW","true","831","55","op7418/Humanizer-zh","MIT","2026-08-26T02:36:38Z","繁体中文；GitHub 明示 fork 自 op7418。","kevintsai1202/humanizer-zh-tw@humanizer-zh-tw (1.2K); https://skills.sh/kevintsai1202/humanizer-zh-tw/humanizer-zh-tw; npx skills add kevintsai1202/humanizer-zh-tw@humanizer-zh-tw","SKILL.md"
"27","ai-zixun/humanizer-zh","https://github.com/ai-zixun/humanizer-zh","true","137","15","","MIT","2026-05-22T01:54:46Z","同名但不同维护者；处理中文翻译腔和长文节奏。","ai-zixun/humanizer-zh@humanizer-zh (890); https://skills.sh/ai-zixun/humanizer-zh/humanizer-zh; npx skills add ai-zixun/humanizer-zh@humanizer-zh","SKILL.md"
"28","hairyf/skills","https://github.com/hairyf/skills","true","25","2","antfu/skills","MIT","2026-08-10T17:28:12Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","hairyf/skills@writing-humanizer-zh (574); https://skills.sh/hairyf/skills/writing-humanizer-zh; npx skills add hairyf/skills@writing-humanizer-zh
hairyf/skills@writing-styles-juejin (119); https://skills.sh/hairyf/skills/writing-styles-juejin; npx skills add hairyf/skills@writing-styles-juejin",""
"29","z0gSh1u/oh-my-writing-skill","https://github.com/z0gSh1u/oh-my-writing-skill","true","33","7","","MIT","2026-03-02T12:20:45Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","z0gsh1u/oh-my-writing-skill@humanizer-cn (742); https://skills.sh/z0gsh1u/oh-my-writing-skill/humanizer-cn; npx skills add z0gsh1u/oh-my-writing-skill@humanizer-cn",""
"30","sickn33/agentic-awesome-skills","https://github.com/sickn33/agentic-awesome-skills","true","46028","6728","","MIT","2026-09-05T17:53:02Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","sickn33/agentic-awesome-skills@humanize-chinese (656); https://skills.sh/sickn33/agentic-awesome-skills/humanize-chinese; npx skills add sickn33/agentic-awesome-skills@humanize-chinese
sickn33/agentic-awesome-skills@wiki-builder (8); https://skills.sh/sickn33/agentic-awesome-skills/wiki-builder; npx skills add sickn33/agentic-awesome-skills@wiki-builder",""
"31","smallnest/goal-workflow","https://github.com/smallnest/goal-workflow","true","278","40","","MIT","2026-09-06T04:22:14Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","smallnest/goal-workflow@humanize-it (445); https://skills.sh/smallnest/goal-workflow/humanize-it; npx skills add smallnest/goal-workflow@humanize-it",""
"32","chujianyun/skills","https://github.com/chujianyun/skills","true","733","99","","NOASSERTION","2026-08-31T04:10:50Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","chujianyun/skills@remove-ai-flavor (130); https://skills.sh/chujianyun/skills/remove-ai-flavor; npx skills add chujianyun/skills@remove-ai-flavor",""
"33","Jackywxsz/jacky-opc","https://github.com/Jackywxsz/jacky-opc","true","35","1","","MIT","2026-06-28T11:56:20Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","jackywxsz/jacky-opc@jacky-de-ai (109); https://skills.sh/jackywxsz/jacky-opc/jacky-de-ai; npx skills add jackywxsz/jacky-opc@jacky-de-ai",""
"34","allinherog-star/ai-skills","https://github.com/allinherog-star/ai-skills","true","51","5","","","2026-06-06T07:52:47Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","allinherog-star/ai-skills@ai-humanizer-zh (65); https://skills.sh/allinherog-star/ai-skills/ai-humanizer-zh; npx skills add allinherog-star/ai-skills@ai-humanizer-zh",""
"35","aAAaqwq/AGI-Super-Team","https://github.com/aAAaqwq/AGI-Super-Team","true","91","22","","MIT","2026-09-04T00:35:18Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","aaaaqwq/agi-super-team@de-ai-ify (49); https://skills.sh/aaaaqwq/agi-super-team/de-ai-ify; npx skills add aaaaqwq/agi-super-team@de-ai-ify",""
"36","hardydai-cell/qu-ai-wei","https://github.com/hardydai-cell/qu-ai-wei","true","0","0","","MIT","2026-05-11T09:23:07Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","hardydai-cell/qu-ai-wei@去ai味 (22); https://skills.sh/hardydai-cell/qu-ai-wei/ai; npx skills add hardydai-cell/qu-ai-wei@去ai味",""
"37","kevinaimonster/skill-hub","https://github.com/kevinaimonster/skill-hub","true","3","2","","","2026-03-21T14:21:06Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","kevinaimonster/skill-hub@chinese-copyfix (12); https://skills.sh/kevinaimonster/skill-hub/chinese-copyfix; npx skills add kevinaimonster/skill-hub@chinese-copyfix
kevinaimonster/skill-hub@translator (13); https://skills.sh/kevinaimonster/skill-hub/translator; npx skills add kevinaimonster/skill-hub@translator","SKILL.md"
"38","lanyasheng/content-deai-engine","https://github.com/lanyasheng/content-deai-engine","true","0","0","","","2026-03-07T02:53:58Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","lanyasheng/content-deai-engine@content-deai-engine (3); https://skills.sh/lanyasheng/content-deai-engine/content-deai-engine; npx skills add lanyasheng/content-deai-engine@content-deai-engine","SKILL.md"
"39","Peng-666/deai-zh","https://github.com/Peng-666/deai-zh","true","0","0","","","2026-05-18T01:57:18Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","peng-666/deai-zh@deai-zh (2); https://skills.sh/peng-666/deai-zh/deai-zh; npx skills add peng-666/deai-zh@deai-zh","SKILL.md"
"40","xcc864451691/gongwen-deai-skill","https://github.com/xcc864451691/gongwen-deai-skill","true","0","0","","","2026-05-21T01:53:45Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","xcc864451691/gongwen-deai-skill@gongwen-deai (2); https://skills.sh/xcc864451691/gongwen-deai-skill/gongwen-deai; npx skills add xcc864451691/gongwen-deai-skill@gongwen-deai",""
"41","allblueuk/academic-deai","https://github.com/allblueuk/academic-deai","false","","","","","","CLI 有收录，但 GitHub API 此次无法解析。","allblueuk/academic-deai@academic-deai (7); https://skills.sh/allblueuk/academic-deai/academic-deai; npx skills add allblueuk/academic-deai@academic-deai",""
"42","DaleSeo/korean-skills","https://github.com/DaleSeo/korean-skills","true","187","14","","MIT","2026-05-05T02:06:17Z","韩文 humanizer。","daleseo/korean-skills@humanizer (2.7K); https://skills.sh/daleseo/korean-skills/humanizer; npx skills add daleseo/korean-skills@humanizer",""
"43","NomaDamas/k-skill","https://github.com/NomaDamas/k-skill","true","7432","906","","MIT","2026-09-05T08:59:16Z","韩文 korean-humanizer 技能集。","nomadamas/k-skill@korean-humanizer (2.2K); https://skills.sh/nomadamas/k-skill/korean-humanizer; npx skills add nomadamas/k-skill@korean-humanizer",""
"44","Vladimir-Human/humanizer-ru","https://github.com/Vladimir-Human/humanizer-ru","true","123","9","","MIT","2026-09-06T04:33:48Z","俄文文本卫生/粘贴处理；与另一同名项目分开。","vladimir-human/humanizer-ru@humanizer-ru (601); https://skills.sh/vladimir-human/humanizer-ru/humanizer-ru; npx skills add vladimir-human/humanizer-ru@humanizer-ru","SKILL.md"
"45","bencium/bencium-marketplace","https://github.com/bencium/bencium-marketplace","true","419","57","","MIT","2026-08-30T20:11:15Z","含匈牙利文 humanizer。","bencium/bencium-marketplace@hungarian-humanizer (819); https://skills.sh/bencium/bencium-marketplace/hungarian-humanizer; npx skills add bencium/bencium-marketplace@hungarian-humanizer",""
"46","iKora128/stop-ai-slop-jp","https://github.com/iKora128/stop-ai-slop-jp","true","447","16","","MIT","2026-06-11T12:04:42Z","日文去味。","ikora128/stop-ai-slop-jp@stop-ai-slop-jp (93); https://skills.sh/ikora128/stop-ai-slop-jp/stop-ai-slop-jp; npx skills add ikora128/stop-ai-slop-jp@stop-ai-slop-jp","SKILL.md"
"47","evergreentree97/K-Humanizer","https://github.com/evergreentree97/K-Humanizer","true","8","0","","MIT","2026-08-25T03:10:33Z","韩文去味，低 stars。","",""
"48","1-SKILL/shuorenhua","https://github.com/1-SKILL/shuorenhua","true","9","1","","","2026-04-16T00:14:04Z","与 MrGeDiao 版本不同；检测/查重宣传未验证。","1-skill/shuorenhua@shuorenhua (65); https://skills.sh/1-skill/shuorenhua/shuorenhua; npx skills add 1-skill/shuorenhua@shuorenhua","SKILL.md"
"49","taxueseek/say-it-human","https://github.com/taxueseek/say-it-human","true","65","3","","MIT","2026-08-19T09:23:08Z","含 editor-revisor、humanize-ai、voice-dissolver。","taxueseek/say-it-human@editor-revisor (51); https://skills.sh/taxueseek/say-it-human/editor-revisor; npx skills add taxueseek/say-it-human@editor-revisor","skills/editor-revisor/SKILL.md
skills/humanize-ai/SKILL.md
skills/voice-dissolver/SKILL.md"
"50","cycleuser/Skills","https://github.com/cycleuser/Skills","true","12","0","","GPL-3.0","2026-09-02T10:27:01Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","cycleuser/skills@humanizer (33); https://skills.sh/cycleuser/skills/humanizer; npx skills add cycleuser/skills@humanizer",""
"51","alirezarezvani/claude-skills","https://github.com/alirezarezvani/claude-skills","true","25587","3616","","MIT","2026-08-30T09:46:16Z","含 content-humanizer；仓库总 stars 不代表子技能。","alirezarezvani/claude-skills@content-humanizer (804); https://skills.sh/alirezarezvani/claude-skills/content-humanizer; npx skills add alirezarezvani/claude-skills@content-humanizer",".gemini/skills/behuman/SKILL.md
.gemini/skills/content-humanizer/SKILL.md
.gemini/skills/human-gate/SKILL.md
engineering/behuman/skills/behuman/SKILL.md
engineering/human-gate/skills/human-gate/SKILL.md
marketing-skill/skills/content-humanizer/SKILL.md"
"52","petrkindlmann/qa-skills","https://github.com/petrkindlmann/qa-skills","true","110","22","","MIT","2026-06-10T18:06:18Z","qa-report-humanizer，测试报告场景。","petrkindlmann/qa-skills@qa-report-humanizer (565); https://skills.sh/petrkindlmann/qa-skills/qa-report-humanizer; npx skills add petrkindlmann/qa-skills@qa-report-humanizer",""
"53","pproenca/dot-skills","https://github.com/pproenca/dot-skills","true","202","17","","MIT","2026-08-15T17:56:06Z","含 experimental humanize/human-copywrite；实验目录。","pproenca/dot-skills@humanize (360); https://skills.sh/pproenca/dot-skills/humanize; npx skills add pproenca/dot-skills@humanize","skills/.experimental/audio-voice-recovery/SKILL.md
skills/.experimental/human-copywrite/SKILL.md
skills/.experimental/humanize/SKILL.md
skills/.experimental/react-native-elements/SKILL.md
skills/.experimental/sonarqube-ai-slop-gate/SKILL.md"
"54","sugarforever/01coder-agent-skills","https://github.com/sugarforever/01coder-agent-skills","true","133","35","","MIT","2026-06-19T17:52:39Z","个人中文写作风格；不是通用禁词表。","sugarforever/01coder-agent-skills@personal-chinese-writing-style (359); https://skills.sh/sugarforever/01coder-agent-skills/personal-chinese-writing-style; npx skills add sugarforever/01coder-agent-skills@personal-chinese-writing-style
sugarforever/01coder-agent-skills@personal-writing-style (283); https://skills.sh/sugarforever/01coder-agent-skills/personal-writing-style; npx skills add sugarforever/01coder-agent-skills@personal-writing-style","skills/personal-chinese-writing-style/SKILL.md"
"55","haowjy/creative-writing-skills","https://github.com/haowjy/creative-writing-skills","true","447","63","","Apache-2.0","2026-08-08T18:57:16Z","风格分析和创意写作组合。","haowjy/creative-writing-skills@project-setup (406); https://skills.sh/haowjy/creative-writing-skills/project-setup; npx skills add haowjy/creative-writing-skills@project-setup
haowjy/creative-writing-skills@style-analysis (289); https://skills.sh/haowjy/creative-writing-skills/style-analysis; npx skills add haowjy/creative-writing-skills@style-analysis
haowjy/creative-writing-skills@cw-prose-writing (259); https://skills.sh/haowjy/creative-writing-skills/cw-prose-writing; npx skills add haowjy/creative-writing-skills@cw-prose-writing",""
"56","different-ai/agent-bank","https://github.com/different-ai/agent-bank","true","249","45","","MIT","2026-04-03T18:18:43Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","different-ai/agent-bank@writing-style (377); https://skills.sh/different-ai/agent-bank/writing-style; npx skills add different-ai/agent-bank@writing-style",""
"57","jwynia/agent-skills","https://github.com/jwynia/agent-skills","true","153","19","","","2026-02-24T02:35:14Z","voice-analysis，个人文风分析。","jwynia/agent-skills@voice-analysis (423); https://skills.sh/jwynia/agent-skills/voice-analysis; npx skills add jwynia/agent-skills@voice-analysis","skills/general/writing/analysis/voice-analysis/SKILL.md"
"58","third774/dotfiles","https://github.com/third774/dotfiles","true","5","0","","","2026-08-29T01:45:11Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","third774/dotfiles@natural-writing (69); https://skills.sh/third774/dotfiles/natural-writing; npx skills add third774/dotfiles@natural-writing",""
"59","yyx20202020/natural-writing-skill","https://github.com/yyx20202020/natural-writing-skill","true","14","1","","MIT","2026-07-16T08:54:41Z","中英文自然写作；事实保护与场景路由。","yyx20202020/natural-writing-skill@natural-writing (24); https://skills.sh/yyx20202020/natural-writing-skill/natural-writing; npx skills add yyx20202020/natural-writing-skill@natural-writing","skills/natural-writing/SKILL.md"
"60","flutter/agent-plugins","https://github.com/flutter/agent-plugins","true","2907","176","","BSD-3-Clause","2026-09-03T00:38:31Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","flutter/agent-plugins@natural-writing (21); https://skills.sh/flutter/agent-plugins/natural-writing; npx skills add flutter/agent-plugins@natural-writing",".agents/agents/reidbaker-agent/skills/natural-writing/SKILL.md"
"61","joelio/plain-english","https://github.com/joelio/plain-english","true","4","0","","MIT","2026-03-15T23:24:44Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","joelio/plain-english@natural-writing (2); https://skills.sh/joelio/plain-english/natural-writing; npx skills add joelio/plain-english@natural-writing",""
"62","sho-das/clear-english","https://github.com/sho-das/clear-english","true","2","0","","MIT","2026-08-09T10:36:59Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","",""
"63","tamdogood/builder-essential-skills","https://github.com/tamdogood/builder-essential-skills","true","183","6","","MIT","2026-08-16T16:30:17Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","tamdogood/builder-essential-skills@orwell-writing (162); https://skills.sh/tamdogood/builder-essential-skills/orwell-writing; npx skills add tamdogood/builder-essential-skills@orwell-writing",""
"64","zenstory-ai/oh-story-claudecode","https://github.com/zenstory-ai/oh-story-claudecode","true","6533","956","","MIT","2026-09-05T17:07:38Z","中文网文 story-deslop，非商务/技术文档默认选项。","zenstory-ai/oh-story-claudecode@story-deslop (13.5K); https://skills.sh/zenstory-ai/oh-story-claudecode/story-deslop; npx skills add zenstory-ai/oh-story-claudecode@story-deslop","skills/story-deslop/SKILL.md"
"65","tance-mang/chinese-webnovel-skills","https://github.com/tance-mang/chinese-webnovel-skills","true","48","5","","MIT","2026-06-13T09:38:39Z","中文网文 deslop 和对白等技能。","tance-mang/chinese-webnovel-skills@deslop (21); https://skills.sh/tance-mang/chinese-webnovel-skills/deslop; npx skills add tance-mang/chinese-webnovel-skills@deslop
tance-mang/chinese-webnovel-skills@dialogue (19); https://skills.sh/tance-mang/chinese-webnovel-skills/dialogue; npx skills add tance-mang/chinese-webnovel-skills@dialogue",""
"66","Chained1001/mo-shu","https://github.com/Chained1001/mo-shu","true","0","0","","MIT","2026-09-04T18:47:22Z","目录收录 moshu-deslop；零 stars，尚未细读。","chained1001/mo-shu@moshu-deslop (13); https://skills.sh/chained1001/mo-shu/moshu-deslop; npx skills add chained1001/mo-shu@moshu-deslop",""
"67","Wooooooooood/ai-fiction-writer","https://github.com/Wooooooooood/ai-fiction-writer","true","37","7","","MIT","2026-06-28T13:35:08Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","",""
"68","every-app/open-seo","https://github.com/every-app/open-seo","true","17310","2170","","MIT","2026-09-03T15:54:34Z","SEO 项目中的 deslop；仓库总 stars 不代表子技能。","every-app/open-seo@deslop (1.4K); https://skills.sh/every-app/open-seo/deslop; npx skills add every-app/open-seo@deslop",""
"69","stephenturner/skill-deslop","https://github.com/stephenturner/skill-deslop","true","381","25","","MIT","2026-03-18T17:30:41Z","科研文章、摘要、基金材料等英文写作。","stephenturner/skill-deslop@deslop (165); https://skills.sh/stephenturner/skill-deslop/deslop; npx skills add stephenturner/skill-deslop@deslop","SKILL.md"
"70","glaforge/deslopify","https://github.com/glaforge/deslopify","true","34","1","","","2026-03-08T14:59:16Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","glaforge/deslopify@deslopify (74); https://skills.sh/glaforge/deslopify/deslopify; npx skills add glaforge/deslopify@deslopify",""
"71","vincentkoc/dotskills","https://github.com/vincentkoc/dotskills","true","102","9","","MIT","2026-09-04T10:14:34Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","vincentkoc/dotskills@technical-deslop (87); https://skills.sh/vincentkoc/dotskills/technical-deslop; npx skills add vincentkoc/dotskills@technical-deslop",""
"72","miqdadbadjuber/anti-slop","https://github.com/miqdadbadjuber/anti-slop","true","1161","89","","MIT","2026-09-05T13:12:21Z","copywriting/human/UI/code 分模块，需挑具体子技能。","miqdadbadjuber/anti-slop@antislop (628); https://skills.sh/miqdadbadjuber/anti-slop/antislop; npx skills add miqdadbadjuber/anti-slop@antislop
miqdadbadjuber/anti-slop@antislop-ui (619); https://skills.sh/miqdadbadjuber/anti-slop/antislop-ui; npx skills add miqdadbadjuber/anti-slop@antislop-ui
miqdadbadjuber/anti-slop@antislop-copywriting (589); https://skills.sh/miqdadbadjuber/anti-slop/antislop-copywriting; npx skills add miqdadbadjuber/anti-slop@antislop-copywriting
miqdadbadjuber/anti-slop@antislop-human (555); https://skills.sh/miqdadbadjuber/anti-slop/antislop-human; npx skills add miqdadbadjuber/anti-slop@antislop-human
miqdadbadjuber/anti-slop@antislop-layoutmobile (550); https://skills.sh/miqdadbadjuber/anti-slop/antislop-layoutmobile; npx skills add miqdadbadjuber/anti-slop@antislop-layoutmobile
miqdadbadjuber/anti-slop@antislop-code (479); https://skills.sh/miqdadbadjuber/anti-slop/antislop-code; npx skills add miqdadbadjuber/anti-slop@antislop-code","skills/antislop-code/SKILL.md
skills/antislop-copywriting/SKILL.md
skills/antislop-human/SKILL.md
skills/antislop-layoutmobile/SKILL.md
skills/antislop-ui/SKILL.md
skills/antislop/SKILL.md"
"73","rand/cc-polymath","https://github.com/rand/cc-polymath","true","174","12","","MIT","2026-02-28T15:37:38Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","rand/cc-polymath@anti-slop (615); https://skills.sh/rand/cc-polymath/anti-slop; npx skills add rand/cc-polymath@anti-slop",""
"74","aplaceforallmystuff/the-antislop","https://github.com/aplaceforallmystuff/the-antislop","true","28","2","","MIT","2026-08-18T18:08:45Z","相关目录候选；仅核对仓库身份与简介，未做效果测试。","aplaceforallmystuff/the-antislop@antislop (57); https://skills.sh/aplaceforallmystuff/the-antislop/antislop; npx skills add aplaceforallmystuff/the-antislop@antislop",""
"75","dmmulroy/anti-slop","https://github.com/dmmulroy/anti-slop","true","4114","89","","MIT","2026-08-31T21:35:30Z","JS/TS Oxlint 规则，排除出文本写作推荐。","dmmulroy/anti-slop@install-anti-slop (6.4K); https://skills.sh/dmmulroy/anti-slop/install-anti-slop; npx skills add dmmulroy/anti-slop@install-anti-slop",""
